Year,Capital Stock,Final Consumption,Investment,Government Spending,Productivity,Population,Private Consumption,Private Investment,GDP per capita
1985,,,,,,59060622,,,238.6478053
1986,,,,,,60347048,,,436.4192968
1987,,,,,,61584651,,,595.2474887
1988,,,,,,62843228,,,404.5593051
1989,,,,,,64147348,,,98.10701722
1990,,,,,,65504552,,,98.79833703
1991,,,,,,66891775,,,143.7152702
1992,,,,,,68260337,,,144.5493924
1993,,,,,,69586384,,,189.4185736
1994,,,,,,70854391,,,229.8577873
1995,,16962123098,5271373405,,,72049940,235.4217519,73.162773,287.802661
1996,,20415043432,6489585646,,,73156447,279.0600729,88.70832185,337.0512318
1997,,21448050148,7166982054,,,74226889,288.9525674,96.55506449,361.6438841
1998,,21362978595,7352351522,,,75299660,283.706176,97.64123134,361.3509284
1999,,21637070090,7372697697,,,76287452,283.6255442,96.64364851,375.9944559
2000,,22717218237,8618204783,,,77154011,294.4398864,111.7013188,404.0297841
2001,,23266765514,9527973650,,,77969361,298.409083,122.20151,419.2056776
2002,,25009784352,10918420105,,,78772224,317.4949631,138.6074882,445.1328618
2003,,28706187036,13192359563,,,79563777,360.7946746,165.8086137,497.1170892
2004,,32466721707,15106566747,,,80338971,404.1217021,188.0353527,565.4522846
2005,,40893020224,18023992811,,,81088313,504.3022689,222.2760857,710.74676
2006,,46872344749,20816793535,,,82167897,570.4459583,253.3446065,807.7566451
2007,,57024580685,27177808306,,,83633375,681.8400033,324.963668,925.6403383
2008,,75834010643,31528592679,,,85175788,890.3235582,370.1590959,1163.831958
2009,,78739199439,35893525279,,,86460018,910.7007061,415.1459381,1226.169761
2010,,1.01301E+11,51755471072,,,87455152,1158.316539,591.7944214,1683.161824
2011,,1.14716E+11,52761282442,,,88468314,1296.690442,596.3862094,1950.925042
2012,,1.29381E+11,56042069495,,,89510356,1445.42988,626.095929,2185.117677
2013,,1.44895E+11,60485544492,,,90573104,1599.755459,667.8091157,2359.517365
2014,,1.57194E+11,66311194331,,,91679578,1714.597142,723.2929708,2546.384645
2015,,1.67451E+11,72200329090,,,92823254,1803.977084,777.8258785,2577.568853
2016,,1.77744E+11,76855916996,,,94000117,1890.894453,817.6151206,2735.060438
2017,,1.91694E+11,85938797505,,,95176977,2014.082249,902.9368258,2956.109921
2018,,2.07222E+11,94090935658,,,96237319,2153.237119,977.6969749,3222.310031
2019,,2.22042E+11,1.02E+11,,,97173776,2284.995414,1044.746887,3440.900254
2020,,2.26846E+11,1.05E+11,,,98079191,2312.883565,1070.033296,3534.039535
2021,,2.3859E+11,1.14E+11,,,98935098,2411.582325,1149.592029,3704.193559
2022,,2.61458E+11,1.26E+11,,,99680655,2622.959107,1267.226826,4116.385761
2023,,2.72598E+11,1.31E+11,,,100352192,2716.414339,1302.004445,4282.088517
